Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2021-12-20,ALLE,119.47664642333984,124.25,126.51000213623048,122.98999786376952,126.06999969482422,568900.0
2021-12-21,ALLE,121.50557708740234,126.36000061035156,126.88999938964844,124.81999969482422,125.37999725341795,428900.0
2021-12-22,ALLE,121.39981079101562,126.25,127.4800033569336,125.98999786376952,126.23999786376952,327200.0
2021-12-23,ALLE,122.39024353027344,127.27999877929688,127.9800033569336,126.62999725341795,126.62999725341795,364100.0
2021-12-27,ALLE,124.60187530517578,129.5800018310547,129.63999938964844,127.29000091552734,127.9800033569336,532600.0
2021-12-28,ALLE,126.02501678466795,131.05999755859375,131.25,129.4499969482422,129.4499969482422,284300.0
2021-12-29,ALLE,127.28467559814452,132.3699951171875,132.5800018310547,131.0399932861328,131.0399932861328,319700.0
2021-12-30,ALLE,126.50579071044922,131.55999755859375,133.0500030517578,131.3699951171875,132.89999389648438,360100.0
2021-12-31,ALLE,127.35202026367188,132.44000244140625,133.0399932861328,131.02999877929688,131.02999877929688,280400.0
2022-01-03,ALLE,124.39031982421876,129.36000061035156,132.3000030517578,127.77999877929688,132.17999267578125,608900.0
2022-01-04,ALLE,127.31354522705078,132.39999389648438,132.83999633789062,130.30999755859375,130.36000061035156,457000.0
2022-01-05,ALLE,124.34224700927734,129.30999755859375,133.52000427246094,129.22000122070312,132.74000549316406,624600.0
2022-01-06,ALLE,123.14990234375,128.07000732421875,129.72999572753906,127.83999633789062,129.33999633789062,476800.0
2022-01-07,ALLE,121.76520538330078,126.62999725341795,128.80999755859375,126.41999816894533,127.7300033569336,838200.0
2022-01-10,ALLE,120.28436279296876,125.08999633789062,126.0500030517578,122.31999969482422,125.58000183105467,898100.0
2022-01-11,ALLE,122.7075653076172,127.61000061035156,127.80999755859376,124.26000213623048,125.62000274658205,548500.0
2022-01-12,ALLE,122.6787109375,127.58000183105467,129.3699951171875,127.12000274658205,128.41000366210938,531000.0
2022-01-13,ALLE,121.27481842041016,126.12000274658205,129.92999267578125,125.86000061035156,128.1300048828125,449800.0
2022-01-14,ALLE,119.67858123779295,124.45999908447266,125.61000061035156,121.77999877929688,124.55999755859376,658300.0
2022-01-18,ALLE,119.1304702758789,123.88999938964844,124.5199966430664,122.12000274658205,123.25,635500.0
2022-01-19,ALLE,118.20736694335938,122.93000030517578,125.20999908447266,122.73999786376952,124.3499984741211,577700.0
2022-01-20,ALLE,116.11111450195312,120.75,124.66000366210938,120.58000183105467,123.26000213623048,591900.0
2022-01-21,ALLE,116.62073516845705,121.27999877929688,122.62000274658205,119.6500015258789,120.9000015258789,629500.0
2022-01-24,ALLE,118.80354309082033,123.5500030517578,124.04000091552734,118.3000030517578,119.2300033569336,1124100.0
2022-01-25,ALLE,116.04380798339844,120.68000030517578,121.93000030517578,118.75,121.19000244140624,688200.0
2022-01-26,ALLE,115.7649383544922,120.38999938964844,124.27999877929688,119.66999816894533,121.48999786376952,955700.0
2022-01-27,ALLE,115.88031005859376,120.51000213623048,123.37000274658205,119.33999633789062,121.6999969482422,700300.0
2022-01-28,ALLE,116.55343627929688,121.20999908447266,121.26000213623048,117.68000030517578,119.77999877929688,765100.0
2022-01-31,ALLE,118.01502990722656,122.7300033569336,122.86000061035156,119.7699966430664,120.36000061035156,649100.0
2022-02-01,ALLE,115.38992309570312,120.0,123.56999969482422,118.97000122070312,122.62999725341795,720600.0
2022-02-02,ALLE,115.5630111694336,120.18000030517578,122.0,119.08000183105467,120.30999755859376,729900.0
2022-02-03,ALLE,111.64936065673828,116.11000061035156,120.16000366210938,115.88999938964844,119.30999755859376,1116200.0
2022-02-04,ALLE,114.6687240600586,119.25,120.0,115.58999633789062,116.13999938964844,1293900.0
2022-02-07,ALLE,115.8322525024414,120.45999908447266,122.30999755859376,119.25,120.23999786376952,1114600.0
2022-02-08,ALLE,117.04383850097656,121.72000122070312,122.5500030517578,119.98999786376952,120.72000122070312,497200.0
2022-02-09,ALLE,120.37091827392578,125.18000030517578,125.38999938964844,122.51000213623048,123.6500015258789,970400.0
2022-02-10,ALLE,116.05340576171876,120.69000244140624,123.68000030517578,120.02999877929688,122.66000366210938,854800.0
2022-02-11,ALLE,114.30332946777344,118.87000274658205,122.19000244140624,117.9800033569336,120.87000274658205,570200.0
2022-02-14,ALLE,113.78408813476562,118.33000183105467,120.0,116.66999816894533,119.19000244140624,727500.0
2022-02-15,ALLE,112.59171295166016,117.08999633789062,120.12999725341795,113.5999984741211,113.5999984741211,1449000.0
